,NAME,INTPTLAT,INTPTLONG,CBSA,POPESTIMATE
0,"Adrian, MI",41.896022,-84.074356,10300,98956
1,"Akron, OH",41.146639,-81.35011,10420,700015
2,"Albany-Lebanon, OR",44.488898,-122.537208,10540,129839
3,"Albany-Schenectady-Troy, NY",42.78792,-73.942348,10580,899286
4,"Albemarle, NC",35.310449,-80.254374,10620,63425
5,"Albuquerque, NM",35.123496,-106.458392,10740,918259
6,"Alexander City, AL",32.900486,-86.002932,10760,51473
7,"Alice, TX",27.697743,-98.390881,10860,48603
8,"Alma, MI",43.292326,-84.60469,10940,41544
9,"Altoona, PA",40.498683,-78.309597,11020,121767
10,"Amarillo, TX",35.247999,-101.90867,11100,269703
11,"Ames, IA",42.036128,-93.698008,11180,126195
12,"Amsterdam, NY",42.900891,-74.435357,11220,49558
13,"Angola, IN",41.643467,-85.002405,11420,34632
14,"Ann Arbor, MI",42.252217,-83.843423,11460,369390
15,"Appleton, WI",44.290603,-88.372326,11540,244084
16,"Arcadia, FL",27.190581,-81.806253,11580,34408
17,"Asheville, NC",35.595669,-82.681615,11700,472341
18,"Ashland, OH",40.843273,-82.270127,11740,52316
19,"Ashtabula, OH",41.906637,-80.745592,11780,97337
20,"Atchison, KS",39.532544,-95.313397,11860,16239
21,"Athens, TN",35.424472,-84.619949,11940,54059
22,"Athens, TX",32.211633,-95.853418,11980,83667
23,"Athens-Clarke County, GA",33.943984,-83.213897,12020,217759
24,"Atlanta-Sandy Springs-Alpharetta, GA",33.693728,-84.399911,12060,6144050
25,"Atlantic City-Hammonton, NJ",39.469355,-74.633759,12100,274966
26,"Atmore, AL",31.122287,-87.16841,12120,36699
27,"Auburn, IN",41.39676,-85.002697,12140,43333
28,"Auburn, NY",43.008546,-76.574587,12180,75880
29,"Auburn-Opelika, AL",32.604064,-85.353048,12220,177218
30,"Austin, MN",43.666249,-92.759514,12380,40158
31,"Baltimore-Columbia-Towson, MD",39.304361,-76.549501,12580,2838327
32,"Baraboo, WI",43.428001,-89.943318,12660,65697
33,"Bardstown, KY",37.80312,-85.465931,12680,47098
34,"Barnstable Town, MA",41.706123,-70.164823,12700,232411
35,"Barre, VT",44.274969,-72.609444,12740,59969
36,"Bartlesville, OK",36.704403,-95.906253,12780,52772
37,"Batavia, NY",43.00091,-78.192778,12860,57853
38,"Battle Creek, MI",42.24299,-85.012385,12980,133819
39,"Bay City, MI",43.699711,-83.978701,13020,102985
40,"Bay City, TX",28.77476,-96.001532,13060,36344
41,"Beatrice, NE",40.255234,-96.683453,13100,21616
42,"Beaver Dam, WI",43.429628,-88.701939,13180,89313
43,"Bedford, IN",38.839815,-86.48782,13260,45070
44,"Bellefontaine, OH",40.387553,-83.766343,13340,46035
45,"Bend, OR",43.915118,-121.225575,13460,204801
46,"Big Rapids, MI",43.635295,-85.332751,13660,40031
47,"Birmingham-Hoover, AL",33.402599,-86.729515,13820,1114262
48,"Blackfoot, ID",43.216357,-112.399206,13940,48876
49,"Bloomington, IL",40.494559,-88.844539,14010,170889
50,"Bloomington, IN",39.241736,-86.671754,14020,161321
51,"Bloomsburg-Berwick, PA",41.040404,-76.461654,14100,82959
52,"Bluffton, IN",40.735273,-85.212974,14160,28197
53,"Bogalusa, LA",30.852144,-90.046253,14220,45133
54,"Boise City, ID",43.006648,-116.141909,14260,795268
55,"Bonham, TX",33.591161,-96.104988,14300,36569
56,"Borger, TX",35.837047,-101.362746,14420,20495
57,"Boston-Cambridge-Newton, MA-NH",42.517606,-71.021993,14460,4899932
58,"Boulder, CO",40.094962,-105.397704,14500,329543
59,"Bowling Green, KY",37.046804,-86.397398,14540,182594
60,"Bremerton-Silverdale-Port Orchard, WA",47.639595,-122.649634,14740,274314
61,"Brenham, TX",30.215075,-96.410272,14780,35891
62,"Brevard, NC",35.210103,-82.816666,14820,33165
63,"Bridgeport-Stamford-Norwalk, CT",41.227413,-73.367061,14860,959768
64,"Brookhaven, MS",31.535216,-90.453566,15020,34943
65,"Brownsville, TN",35.586678,-89.282691,15140,17694
66,"Brownsville-Harlingen, TX",26.102923,-97.478958,15180,423029
67,"Bucyrus-Galion, OH",40.848524,-82.924783,15340,41754
68,"Buffalo-Cheektowaga, NY",43.044371,-78.777335,15380,1162336
69,"Burlington, IA-IL",40.863823,-91.069976,15460,44803
70,"Burlington, NC",36.043954,-79.400573,15500,173877
71,"Burlington-South Burlington, VT",44.689117,-73.041171,15540,226611
72,"Calhoun, GA",34.509667,-84.873862,15660,58237
73,"California-Lexington Park, MD",38.223077,-76.534487,15680,114468
74,"Cambridge, MD",38.429196,-76.047433,15700,32489
75,"Cambridge, OH",40.056665,-81.497875,15740,38287
76,"Cañon City, CO",38.45517,-105.424958,15860,49661
77,"Canton-Massillon, OH",40.711051,-81.261468,15940,400525
78,"Cape Coral-Fort Myers, FL",26.563273,-81.984182,15980,787976
79,"Cape Girardeau, MO-IL",37.325936,-89.762639,16020,97699
80,"Carson City, NV",39.15306,-119.747368,16180,58993
81,"Cedar Rapids, IA",42.086289,-91.631095,16300,275435
82,"Cedartown, GA",33.996015,-85.188338,16340,43496
83,"Celina, OH",40.535333,-84.632059,16380,42309
84,"Centralia, IL",38.648236,-88.920362,16460,37390
85,"Centralia, WA",46.580071,-122.377444,16500,84398
86,"Chambersburg-Waynesboro, PA",39.926772,-77.724521,16540,156289
87,"Charleston, WV",38.355177,-81.620341,16620,255020
88,"Charlotte-Concord-Gastonia, NC-SC",35.166342,-80.797285,16740,2701046
89,"Chattanooga, TN-GA",35.049361,-85.361158,16860,567641
90,"Chicago-Naperville-Elgin, IL-IN-WI",41.823521,-87.828297,16980,9509934
91,"Chillicothe, OH",39.323895,-83.059538,17060,76891
92,"Cincinnati, OH-KY-IN",39.100546,-84.479533,17140,2259935
93,"Cleveland, MS",33.799139,-90.88412,17380,30308
94,"Cleveland, TN",35.138117,-84.655079,17420,127938
95,"Cleveland-Elyria, OH",41.555037,-81.604957,17460,2075662
96,"Clewiston, FL",26.539967,-81.152114,17500,40313
97,"Clinton, IA",41.898073,-90.534243,17540,46463
98,"Clovis, NM",34.572984,-103.346055,17580,47999
99,"Coeur d'Alene, ID",47.675957,-116.695919,17660,179789
100,"Coldwater, MI",41.918455,-85.066885,17740,44985
101,"Columbia, MO",38.986486,-92.585189,17860,213123
102,"Columbia, SC",34.077585,-81.037845,17900,838250
103,"Columbus, GA-AL",32.419377,-84.843709,17980,327536
104,"Columbus, IN",39.205843,-85.897999,18020,82475
105,"Columbus, MS",33.471424,-88.439723,18060,58150
106,"Columbus, OH",39.968562,-82.835911,18140,2151017
107,"Concord, NH",43.299579,-71.680041,18180,155238
108,"Connersville, IN",39.639655,-85.185032,18220,23360
109,"Corinth, MS",34.886569,-88.581109,18420,34349
110,"Cornelia, GA",34.634392,-83.525875,18460,46774
111,"Corning, NY",42.266725,-77.385525,18500,92948
112,"Corpus Christi, TX",27.833597,-97.508958,18580,422778
113,"Corsicana, TX",32.048448,-96.476909,18620,53591
114,"Cortland, NY",42.594039,-76.07624,18660,46311
115,"Corvallis, OR",44.493882,-123.424664,18700,96017
116,"Craig, CO",40.610864,-108.217154,18780,13185
117,"Crawfordsville, IN",40.040296,-86.892715,18820,38063
118,"Cullman, AL",34.131923,-86.869267,18980,89496
119,"Dallas-Fort Worth-Arlington, TX",32.849171,-96.970489,19100,7759615
120,"Dalton, GA",34.796956,-84.856279,19140,142799
121,"Daphne-Fairhope-Foley, AL",30.659218,-87.746067,19300,239294
122,"Davenport-Moline-Rock Island, IA-IL",41.39168,-90.460076,19340,381568
123,"Dayton, TN",35.60059,-84.949548,19420,33136
124,"Dayton-Kettering, OH",39.829746,-84.140992,19430,813516
125,"Decatur, AL",34.489361,-87.097147,19460,156758
126,"Decatur, IN",40.745733,-84.93613,19540,35961
127,"Deltona-Daytona Beach-Ormond Beach, FL",29.1789,-81.189023,19660,685344
128,"Denver-Aurora-Lakewood, CO",39.434789,-104.901073,19740,2972566
129,"DeRidder, LA",30.645018,-93.340253,19760,36584
130,"Des Moines-West Des Moines, IA",41.57705,-93.759712,19780,719146
131,"Detroit-Warren-Dearborn, MI",42.721848,-83.200846,19820,4365205
132,"Dixon, IL",41.747447,-89.299362,19940,34049
133,"Dothan, AL",31.245528,-85.46919,20020,151618
134,"Dover, DE",39.097088,-75.502982,20100,184149
135,"DuBois, PA",41.006862,-78.477724,20180,80082
136,"Durant, OK",33.964004,-96.265135,20460,47105
137,"Durham-Chapel Hill, NC",36.060589,-78.989787,20500,654012
138,"Easton, MD",38.748349,-76.178476,20660,37626
139,"East Stroudsburg, PA",41.05624,-75.329065,20700,169273
140,"Eau Claire, WI",44.938672,-91.284322,20740,173317
141,"Edwards, CO",39.626992,-106.695169,20780,55727
142,"El Campo, TX",29.27848,-96.229674,20900,41721
143,"Elizabeth City, NC",36.197118,-76.34244,21020,53951
144,"Elizabethtown-Fort Knox, KY",37.73298,-85.972171,21060,156766
145,"Elkhart-Goshen, IN",41.600693,-85.863986,21140,206921
146,"Elmira, NY",42.148697,-76.752471,21300,83045
147,"El Paso, TX",31.527394,-105.521333,21340,871234
148,"Erie, PA",42.117952,-80.096386,21500,269011
149,"Española, NM",36.509669,-106.693983,21580,40179
150,"Fairmont, WV",39.505839,-80.243402,21900,56001
151,"Fargo, ND-MN",46.914859,-96.960183,22020,252136
152,"Faribault-Northfield, MN",44.350775,-93.298513,22060,67262
153,"Farmington, MO",37.810707,-90.473868,22100,67541
154,"Fayetteville, NC",35.155986,-78.93185,22180,524588
155,"Fernley, NV",39.022213,-119.197425,22280,60903
156,"Findlay, OH",41.000217,-83.665947,22300,74656
157,"Flint, MI",43.021077,-83.706372,22420,404208
158,"Forrest City, AR",35.022838,-90.751506,22620,22739
159,"Fort Madison-Keokuk, IA-IL-MO",40.478345,-91.409363,22800,57351
160,"Fort Payne, AL",34.460915,-85.804021,22840,71813
161,"Fort Polk South, LA",31.102841,-93.18833,22860,48027
162,"Fort Wayne, IN",41.113116,-85.217705,23060,423038
163,"Frankfort, IN",40.305944,-86.477567,23140,33065
164,"Frankfort, KY",38.121449,-84.933167,23180,75717
165,"Fredericksburg, TX",30.325093,-98.94185,23240,27297
166,"Freeport, IL",42.349726,-89.665994,23300,44021
167,"Fremont, NE",41.577008,-96.645852,23340,37103
168,"Fremont, OH",41.355319,-83.142776,23380,58715
169,"Fresno, CA",36.761006,-119.655019,23420,1013581
170,"Gaffney, SC",35.049796,-81.607647,23500,56052
171,"Gainesville, FL",29.453355,-82.666257,23540,341756
172,"Gainesville, GA",34.317569,-83.8185,23580,207369
173,"Gainesville, TX",33.639196,-97.210343,23620,42244
174,"Gardnerville Ranchos, NV",38.905129,-119.609019,23820,49870
175,"Georgetown, SC",33.417531,-79.296333,23860,63921
176,"Gettysburg, PA",39.869471,-77.21773,23900,104127
177,"Glasgow, KY",36.967571,-85.815497,23980,54893
178,"Glens Falls, NY",43.44045,-73.636757,24020,126574
179,"Glenwood Springs, CO",39.509542,-107.667311,24060,79509
180,"Gloversville, NY",43.115609,-74.423678,24100,53116
181,"Granbury, TX",32.430149,-97.831677,24180,64222
182,"Grand Rapids-Kentwood, MI",43.037598,-85.778167,24340,1091620
183,"Grants Pass, OR",42.386983,-123.57162,24420,88346
184,"Greeley, CO",40.555961,-104.383666,24540,340036
185,"Green Bay, WI",44.474024,-87.99613,24580,329490
186,"Greensboro-High Point, NC",36.025204,-79.792633,24660,778848
187,"Greensburg, IN",39.30598,-85.499831,24700,26320
188,"Greenville, NC",35.59249,-77.372739,24780,172169
189,"Greenville, OH",40.131467,-84.621191,24820,51597
190,"Greenville-Anderson, SC",34.683709,-82.413423,24860,940774
191,"Greenwood, SC",34.155796,-82.127876,24940,69241
192,"Hagerstown-Martinsburg, MD-WV",39.554433,-77.984594,25180,298227
193,"Hammond, LA",30.621348,-90.40649,25220,135217
194,"Hanford-Corcoran, CA",36.072478,-119.81553,25260,153443
195,"Hannibal, MO",39.664115,-91.579179,25300,38879
196,"Harrisburg-Carlisle, PA",40.335915,-77.05049,25420,596305
197,"Harrisonburg, VA",38.507585,-78.885321,25500,135824
198,"Hartford-East Hartford-Middletown, CT",41.71865,-72.573919,25540,1211906
199,"Hattiesburg, MS",31.273766,-89.300634,25620,173078
200,"Heber, UT",40.699219,-111.020425,25720,79266
201,"Henderson, NC",36.365481,-78.405434,25780,42185
202,"Hinesville, GA",31.778788,-81.57648,25980,82863
203,"Holland, MI",42.421251,-86.261403,26090,120950
204,"Hot Springs, AR",34.578852,-93.146932,26300,100330
205,"Houston-The Woodlands-Sugar Land, TX",29.749593,-95.353642,26420,7206841
206,"Hudson, NY",42.247696,-73.626718,26460,61778
207,"Huntingdon, PA",40.422311,-77.968595,26500,43889
208,"Huntington, IN",40.826394,-85.478597,26540,36717
209,"Huntington-Ashland, WV-KY-OH",38.406577,-82.542646,26580,356581
210,"Huntsville, AL",34.783262,-86.734871,26620,502728
211,"Huntsville, TX",30.743163,-95.569825,26660,77977
212,"Hutchinson, MN",44.821657,-94.272323,26780,36735
213,"Idaho Falls, ID",43.620423,-112.420919,26820,162786
214,"Indiana, PA",40.651432,-79.087545,26860,82886
215,"Indianapolis-Carmel-Anderson, IN",39.74867,-86.212382,26900,2126804
216,"Indianola, MS",33.605529,-90.59509,26940,25402
217,"Iowa City, IA",41.517806,-91.64793,26980,177239
218,"Iron Mountain, MI-WI",45.947705,-88.08097,27020,30380
219,"Ithaca, NY",42.453006,-76.473483,27060,105162
220,"Jackson, MS",32.42828,-90.202388,27140,587202
221,"Jackson, TN",35.753215,-88.882692,27180,180799
222,"Jacksonville, FL",30.236594,-81.754446,27260,1637666
223,"Jacksonville, IL",39.69395,-90.285047,27300,37442
224,"Jacksonville, TX",31.843881,-95.156343,27380,51097
225,"Janesville-Beloit, WI",42.66988,-89.075284,27500,164381
226,"Jasper, AL",33.791558,-87.301094,27530,64818
227,"Jefferson, GA",34.130905,-83.562557,27600,80286
228,"Jennings, LA",30.269529,-92.816221,27660,32345
229,"Jesup, GA",31.547845,-81.912376,27700,30380
230,"Johnson City, TN",36.265822,-82.332693,27740,208068
231,"Johnstown, PA",40.510227,-78.710477,27780,132167
232,"Jonesboro, AR",35.696978,-90.650175,27860,134878
233,"Joplin, MO",37.055546,-94.339736,27900,182541
234,"Kalamazoo-Portage, MI",42.246266,-85.532854,28020,261108
235,"Kankakee, IL",41.13951,-87.861117,28100,106601
236,"Kansas City, MO-KS",38.931857,-94.443841,28140,2199490
237,"Kendallville, IN",41.404679,-85.417271,28340,47227
238,"Kennewick-Richland, WA",46.364155,-119.254927,28420,308293
239,"Kerrville, TX",30.059953,-99.353339,28500,53161
240,"Key West, FL",25.58612,-81.022603,28580,82170
241,"Kill Devil Hills, NC",35.606269,-75.767536,28620,37826
242,"Kingsport-Bristol, TN-VA",36.604161,-82.440145,28700,308661
243,"Kingston, NY",41.947212,-74.265458,28740,182951
244,"Kingsville, TX",27.113943,-97.568508,28780,30975
245,"Kinston, NC",35.240066,-77.635514,28820,54706
246,"Knoxville, TN",36.014791,-84.206701,28940,893412
247,"Kokomo, IN",40.483537,-86.114118,29020,83687
248,"Laconia, NH",43.519109,-71.425366,29060,64460
249,"Lafayette, LA",29.957773,-92.04935,29180,479212
250,"Lafayette-West Lafayette, IN",40.482153,-87.017112,29200,224709
251,"LaGrange, GA-AL",32.970298,-85.24416,29300,104261
252,"Lake Charles, LA",29.978755,-93.253243,29340,210362
253,"Lake City, FL",30.221651,-82.623371,29380,70385
254,"Lakeland-Winter Haven, FL",27.953649,-81.693534,29460,753520
255,"Las Cruces, NM",32.349919,-106.834968,29740,221508
256,"Las Vegas, NM",35.644067,-104.863027,29780,31346
257,"Las Vegas-Henderson-Paradise, NV",36.21413,-115.014398,29820,2292476
258,"Laurel, MS",31.825465,-89.148054,29860,83035
259,"Laurinburg, NC",34.840023,-79.477337,29900,34227
260,"Lawrence, KS",38.896417,-95.290947,29940,119363
261,"Lawrenceburg, TN",35.220476,-87.396546,29980,44828
262,"Lebanon, PA",40.371448,-76.464819,30140,143493
263,"Levelland, TX",33.605932,-102.343398,30220,21363
264,"Lewisburg, PA",40.962179,-77.055475,30260,42568
265,"Lewisburg, TN",35.468343,-86.765865,30280,34984
266,"Lewiston-Auburn, ME",44.167681,-70.207435,30340,111034
267,"Lexington-Fayette, KY",38.102876,-84.438545,30460,517846
268,"Lima, OH",40.771627,-84.106103,30620,101670
269,"Lincoln, IL",40.129277,-89.365309,30660,27992
270,"Lincoln, NE",40.817429,-96.868801,30700,342117
271,"Little Rock-North Little Rock-Conway, AR",34.755773,-92.400589,30780,750936
272,"Lock Haven, PA",41.239508,-77.629009,30820,37465
273,"Longview, WA",46.196785,-122.67846,31020,111524
274,"Los Alamos, NM",35.870047,-106.307968,31060,19330
275,"Los Angeles-Long Beach-Anaheim, CA",34.108703,-118.182753,31080,12997353
276,"Louisville/Jefferson County, KY-IN",38.305838,-85.681645,31140,1284566
277,"Lubbock, TX",33.470327,-101.648825,31180,325245
278,"Lumberton, NC",34.63921,-79.100881,31300,116328
279,"Macon-Bibb County, GA",32.856216,-83.714305,31420,233883
280,"Madera, CA",37.209821,-119.749802,31460,159410
281,"Madison, WI",43.083846,-89.597745,31540,683183
282,"Malvern, AR",34.315177,-92.944147,31680,33148
283,"Manchester-Nashua, NH",42.911532,-71.723055,31700,424079
284,"Mankato, MN",44.15481,-94.147801,31860,103612
285,"Mansfield, OH",40.774159,-82.542781,31900,125195
286,"Marietta, OH",39.450676,-81.490636,31930,59423
287,"Marinette, WI-MI",45.435279,-87.769216,31940,65174
288,"Marion, NC",35.682271,-82.048044,32000,44717
289,"Marion, OH",40.588034,-83.168803,32020,65291
290,"Martin, TN",36.303596,-88.721194,32280,33036
291,"Mayfield, KY",36.723344,-88.649897,32460,36615
292,"Maysville, KY",38.594137,-83.828125,32500,16931
293,"McAllen-Edinburg-Mission, TX",26.396384,-98.18099,32580,880356
294,"Meadville, PA",41.687876,-80.107795,32740,83351
295,"Medford, OR",42.411621,-122.675611,32780,223734
296,"Memphis, TN-MS-AR",35.024419,-89.871971,32820,1336103
297,"Menomonie, WI",44.947751,-91.897645,32860,45547
298,"Merced, CA",37.194806,-120.722802,32900,286461
299,"Mexico, MO",39.214481,-91.843418,33020,24982
300,"Miami, OK",36.835764,-94.802681,33060,30340
301,"Miami-Fort Lauderdale-Pompano Beach, FL",26.101828,-80.478755,33100,6091747
302,"Michigan City-La Porte, IN",41.549013,-86.744739,33140,112390
303,"Midland, MI",43.648203,-84.379414,33220,83457
304,"Midland, TX",32.092359,-101.994539,33260,173180
305,"Milwaukee-Waukesha, WI",42.912643,-87.862312,33340,1566487
306,"Minden, LA",32.732152,-93.339825,33380,36184
